No 	 LabelName 	 R 	 G 	 B 	 A 	
 0 	 Unknown 	 0 	 0 	 0 	 0 	
 1 	 V1 	 63 	 5 	 255 	 0 	
 2 	 MST 	 54 	 103 	 129 	 0 	
 3 	 V6 	 62 	 78 	 178 	 0 	
 4 	 V2 	 23 	 50 	 233 	 0 	
 5 	 V3 	 15 	 40 	 226 	 0 	
 6 	 V4 	 14 	 28 	 214 	 0 	
 7 	 V8 	 26 	 47 	 201 	 0 	
 8 	 4 	 33 	 178 	 20 	 0 	
 9 	 3b 	 35 	 205 	 21 	 0 	
 10 	 FEF 	 134 	 143 	 137 	 0 	
 11 	 PEF 	 141 	 166 	 152 	 0 	
 12 	 55b 	 62 	 88 	 47 	 0 	
 13 	 V3A 	 7 	 57 	 246 	 0 	
 14 	 RSC 	 153 	 64 	 133 	 0 	
 15 	 POS2 	 186 	 86 	 188 	 0 	
 16 	 V7 	 18 	 70 	 195 	 0 	
 17 	 IPS1 	 57 	 114 	 160 	 0 	
 18 	 FFC 	 57 	 89 	 117 	 0 	
 19 	 V3B 	 25 	 47 	 206 	 0 	
 20 	 LO1 	 0 	 49 	 184 	 0 	
 21 	 LO2 	 18 	 33 	 181 	 0 	
 22 	 PIT 	 34 	 43 	 171 	 0 	
 23 	 MT 	 31 	 86 	 104 	 0 	
 24 	 A1 	 235 	 19 	 47 	 0 	
 25 	 PSL 	 122 	 79 	 56 	 0 	
 26 	 SFL 	 31 	 49 	 22 	 0 	
 27 	 PCV 	 138 	 128 	 153 	 0 	
 28 	 STV 	 142 	 87 	 76 	 0 	
 29 	 7Pm 	 149 	 181 	 188 	 0 	
 30 	 7m 	 42 	 31 	 44 	 0 	
 31 	 POS1 	 81 	 54 	 98 	 0 	
 32 	 23d 	 127 	 56 	 91 	 0 	
 33 	 v23ab 	 29 	 0 	 14 	 0 	
 34 	 d23ab 	 63 	 17 	 47 	 0 	
 35 	 31pv 	 54 	 11 	 42 	 0 	
 36 	 5m 	 48 	 163 	 48 	 0 	
 37 	 5mv 	 153 	 172 	 136 	 0 	
 38 	 23c 	 205 	 190 	 194 	 0 	
 39 	 5L 	 64 	 154 	 64 	 0 	
 40 	 24dd 	 69 	 161 	 44 	 0 	
 41 	 24dv 	 119 	 159 	 66 	 0 	
 42 	 7AL 	 115 	 194 	 134 	 0 	
 43 	 SCEF 	 110 	 146 	 86 	 0 	
 44 	 6ma 	 144 	 179 	 135 	 0 	
 45 	 7Am 	 184 	 243 	 224 	 0 	
 46 	 7PL 	 169 	 246 	 237 	 0 	
 47 	 7PC 	 68 	 177 	 108 	 0 	
 48 	 LIPv 	 63 	 113 	 158 	 0 	
 49 	 VIP 	 50 	 129 	 137 	 0 	
 50 	 MIP 	 136 	 206 	 204 	 0 	
 51 	 1 	 20 	 191 	 38 	 0 	
 52 	 2 	 48 	 176 	 62 	 0 	
 53 	 3a 	 47 	 216 	 22 	 0 	
 54 	 6d 	 26 	 158 	 32 	 0 	
 55 	 6mp 	 64 	 159 	 38 	 0 	
 56 	 6v 	 71 	 168 	 50 	 0 	
 57 	 p24pr 	 146 	 136 	 107 	 0 	
 58 	 33pr 	 129 	 106 	 103 	 0 	
 59 	 a24pr 	 176 	 133 	 130 	 0 	
 60 	 p32pr 	 163 	 142 	 121 	 0 	
 61 	 a24 	 67 	 12 	 25 	 0 	
 62 	 d32 	 90 	 41 	 50 	 0 	
 63 	 8BM 	 105 	 83 	 81 	 0 	
 64 	 p32 	 95 	 32 	 52 	 0 	
 65 	 10r 	 25 	 12 	 1 	 0 	
 66 	 47m 	 96 	 75 	 66 	 0 	
 67 	 8Av 	 53 	 54 	 43 	 0 	
 68 	 8Ad 	 63 	 67 	 48 	 0 	
 69 	 9m 	 43 	 35 	 18 	 0 	
 70 	 8BL 	 34 	 39 	 20 	 0 	
 71 	 9p 	 38 	 43 	 28 	 0 	
 72 	 10d 	 38 	 35 	 24 	 0 	
 73 	 8C 	 101 	 85 	 84 	 0 	
 74 	 44 	 88 	 88 	 62 	 0 	
 75 	 45 	 60 	 63 	 42 	 0 	
 76 	 47l 	 51 	 49 	 31 	 0 	
 77 	 a47r 	 77 	 76 	 66 	 0 	
 78 	 6r 	 178 	 214 	 151 	 0 	
 79 	 IFJa 	 126 	 119 	 95 	 0 	
 80 	 IFJp 	 137 	 160 	 132 	 0 	
 81 	 IFSp 	 97 	 98 	 87 	 0 	
 82 	 IFSa 	 188 	 201 	 178 	 0 	
 83 	 p9-46v 	 138 	 149 	 134 	 0 	
 84 	 46 	 207 	 217 	 200 	 0 	
 85 	 a9-46v 	 145 	 112 	 128 	 0 	
 86 	 9-46d 	 140 	 117 	 131 	 0 	
 87 	 9a 	 55 	 52 	 45 	 0 	
 88 	 10v 	 14 	 35 	 14 	 0 	
 89 	 a10p 	 98 	 75 	 89 	 0 	
 90 	 10pp 	 55 	 62 	 58 	 0 	
 91 	 11l 	 129 	 106 	 118 	 0 	
 92 	 13l 	 82 	 60 	 69 	 0 	
 93 	 OFC 	 40 	 35 	 31 	 0 	
 94 	 47s 	 66 	 35 	 33 	 0 	
 95 	 LIPd 	 155 	 180 	 202 	 0 	
 96 	 6a 	 121 	 192 	 136 	 0 	
 97 	 i6-8 	 90 	 98 	 83 	 0 	
 98 	 s6-8 	 88 	 92 	 73 	 0 	
 99 	 43 	 145 	 138 	 64 	 0 	
 100 	 OP4 	 114 	 157 	 49 	 0 	
 101 	 OP1 	 99 	 158 	 35 	 0 	
 102 	 OP2-3 	 145 	 127 	 52 	 0 	
 103 	 52 	 208 	 72 	 66 	 0 	
 104 	 RI 	 178 	 61 	 23 	 0 	
 105 	 PFcm 	 190 	 144 	 89 	 0 	
 106 	 PoI2 	 131 	 124 	 83 	 0 	
 107 	 TA2 	 130 	 42 	 27 	 0 	
 108 	 FOP4 	 182 	 148 	 129 	 0 	
 109 	 MI 	 157 	 116 	 106 	 0 	
 110 	 Pir 	 90 	 66 	 65 	 0 	
 111 	 AVI 	 141 	 72 	 83 	 0 	
 112 	 AAIC 	 85 	 35 	 44 	 0 	
 113 	 FOP1 	 160 	 153 	 88 	 0 	
 114 	 FOP3 	 175 	 137 	 99 	 0 	
 115 	 FOP2 	 99 	 156 	 51 	 0 	
 116 	 PFt 	 129 	 222 	 134 	 0 	
 117 	 AIP 	 136 	 220 	 166 	 0 	
 118 	 EC 	 49 	 48 	 35 	 0 	
 119 	 PreS 	 86 	 57 	 83 	 0 	
 120 	 H 	 60 	 57 	 40 	 0 	
 121 	 ProS 	 87 	 59 	 176 	 0 	
 122 	 PeEc 	 61 	 62 	 51 	 0 	
 123 	 STGa 	 58 	 42 	 26 	 0 	
 124 	 PBelt 	 195 	 30 	 5 	 0 	
 125 	 A5 	 99 	 39 	 6 	 0 	
 126 	 PHA1 	 69 	 50 	 75 	 0 	
 127 	 PHA3 	 96 	 102 	 113 	 0 	
 128 	 STSda 	 77 	 51 	 34 	 0 	
 129 	 STSdp 	 73 	 57 	 39 	 0 	
 130 	 STSvp 	 71 	 59 	 57 	 0 	
 131 	 TGd 	 35 	 34 	 23 	 0 	
 132 	 TE1a 	 11 	 14 	 0 	 0 	
 133 	 TE1p 	 96 	 102 	 94 	 0 	
 134 	 TE2a 	 67 	 64 	 58 	 0 	
 135 	 TF 	 64 	 72 	 56 	 0 	
 136 	 TE2p 	 105 	 128 	 117 	 0 	
 137 	 PHT 	 217 	 252 	 223 	 0 	
 138 	 PH 	 88 	 131 	 163 	 0 	
 139 	 TPOJ1 	 125 	 90 	 64 	 0 	
 140 	 TPOJ2 	 156 	 162 	 138 	 0 	
 141 	 TPOJ3 	 121 	 148 	 145 	 0 	
 142 	 DVT 	 120 	 112 	 190 	 0 	
 143 	 PGp 	 155 	 190 	 228 	 0 	
 144 	 IP2 	 176 	 166 	 174 	 0 	
 145 	 IP1 	 118 	 121 	 128 	 0 	
 146 	 IP0 	 112 	 160 	 207 	 0 	
 147 	 PFop 	 187 	 205 	 145 	 0 	
 148 	 PF 	 255 	 255 	 226 	 0 	
 149 	 PFm 	 133 	 105 	 114 	 0 	
 150 	 PGi 	 53 	 62 	 46 	 0 	
 151 	 PGs 	 62 	 67 	 57 	 0 	
 152 	 V6A 	 41 	 89 	 166 	 0 	
 153 	 VMV1 	 62 	 61 	 155 	 0 	
 154 	 VMV3 	 49 	 53 	 159 	 0 	
 155 	 PHA2 	 88 	 90 	 89 	 0 	
 156 	 V4t 	 14 	 79 	 128 	 0 	
 157 	 FST 	 92 	 157 	 153 	 0 	
 158 	 V3CD 	 15 	 46 	 182 	 0 	
 159 	 LO3 	 54 	 94 	 160 	 0 	
 160 	 VMV2 	 67 	 62 	 161 	 0 	
 161 	 31pd 	 56 	 22 	 45 	 0 	
 162 	 31a 	 143 	 105 	 133 	 0 	
 163 	 VVC 	 53 	 61 	 124 	 0 	
 164 	 25 	 36 	 24 	 14 	 0 	
 165 	 s32 	 46 	 35 	 21 	 0 	
 166 	 pOFC 	 76 	 48 	 53 	 0 	
 167 	 PoI1 	 164 	 104 	 97 	 0 	
 168 	 Ig 	 110 	 123 	 36 	 0 	
 169 	 FOP5 	 163 	 102 	 105 	 0 	
 170 	 p10p 	 89 	 64 	 76 	 0 	
 171 	 p47r 	 126 	 123 	 112 	 0 	
 172 	 TGv 	 46 	 51 	 42 	 0 	
 173 	 MBelt 	 187 	 30 	 24 	 0 	
 174 	 LBelt 	 233 	 18 	 27 	 0 	
 175 	 A4 	 152 	 39 	 4 	 0 	
 176 	 STSva 	 40 	 33 	 22 	 0 	
 177 	 TE1m 	 59 	 45 	 43 	 0 	
 178 	 PI 	 122 	 50 	 50 	 0 	
 179 	 a32pr 	 130 	 63 	 87 	 0 	
 180 	 p24 	 123 	 35 	 74 	 0 	
 
